date,city,location,restaurant,dish_name,price,units_sold,weather_condition
2024-04-02,Delhi,Saket,The Spice Route,Chicken Biryani,250,25,Cool
2024-01-04,Delhi,Janakpuri,Punjab Grill,Butter Naan,40,84,Rainy
2024-04-26,Delhi,Lajpat Nagar,The Spice Route,Momos,100,75,Rainy
2024-05-02,Delhi,Chandni Chowk,Flavors of Delhi,Chicken Biryani,250,62,Cloudy
2024-04-11,Delhi,Chandni Chowk,The Spice Route,Butter Naan,40,31,Cool
2024-06-17,Delhi,Lajpat Nagar,Delhi Darbar,Dal Makhani,180,41,Sunny
2024-02-01,Delhi,Vasant Kunj,Biryani Blues,Dal Makhani,180,58,Sunny
2024-01-31,Delhi,Karol Bagh,Biryani Blues,Aloo Tikki,80,54,Cool
2024-01-19,Delhi,Vasant Kunj,Haldiram's,North Indian Thali,200,33,Cloudy
2024-04-19,Delhi,Janakpuri,Zaika-e-Dilli,Chicken Biryani,250,99,Humid
2024-04-12,Delhi,Karol Bagh,Haldiram's,Paneer Butter Masala,220,55,Humid
2024-05-10,Delhi,Chandni Chowk,Delhi Darbar,Paneer Butter Masala,220,118,Cool
2024-06-19,Delhi,Lajpat Nagar,Haldiram's,Amritsari Kulcha,160,125,Humid
2024-05-05,Delhi,Dwarka,Local Zaika,Aloo Tikki,80,16,Sunny
2024-01-04,Delhi,Connaught Place,Punjab Grill,Amritsari Kulcha,160,95,Cool
2024-03-17,Delhi,Vasant Kunj,Zaika-e-Dilli,Chicken Biryani,250,111,Cool
2024-04-30,Delhi,Chandni Chowk,Haldiram's,Paneer Butter Masala,220,51,Humid
2024-06-08,Delhi,Hauz Khas,Biryani Blues,Amritsari Kulcha,160,11,Sunny
2024-01-30,Delhi,Connaught Place,The Spice Route,Rajma Chawal,140,62,Cloudy
2024-03-16,Delhi,Hauz Khas,Flavors of Delhi,Dal Makhani,180,99,Cloudy
2024-03-14,Delhi,Chandni Chowk,Haldiram's,Chicken Biryani,250,110,Humid
2024-01-19,Delhi,Chandni Chowk,Biryani Blues,Butter Naan,40,80,Humid
2024-03-16,Delhi,Karol Bagh,Delhi Darbar,Butter Naan,40,29,Rainy
2024-04-13,Delhi,Janakpuri,The Spice Route,North Indian Thali,200,123,Cloudy
2024-05-10,Delhi,Chandni Chowk,Biryani Blues,North Indian Thali,200,18,Sunny
2024-05-25,Delhi,Connaught Place,Delhi Darbar,Rajma Chawal,140,25,Sunny
2024-01-03,Delhi,Karol Bagh,The Spice Route,Aloo Tikki,80,135,Sunny
2024-03-26,Delhi,Chandni Chowk,Delhi Darbar,Paneer Butter Masala,220,62,Cool
2024-06-14,Delhi,Dwarka,Local Zaika,Rajma Chawal,140,135,Cloudy
2024-01-21,Delhi,Hauz Khas,Punjab Grill,North Indian Thali,200,147,Humid
2024-02-04,Delhi,Chandni Chowk,Local Zaika,North Indian Thali,200,20,Sunny
2024-01-25,Delhi,Karol Bagh,Haldiram's,Momos,100,139,Rainy
2024-01-03,Delhi,Rohini,The Spice Route,Paneer Butter Masala,220,103,Humid
2024-05-20,Delhi,Rohini,The Spice Route,Butter Naan,40,36,Rainy
2024-04-11,Delhi,Hauz Khas,Local Zaika,Momos,100,46,Cool
2024-02-02,Delhi,Karol Bagh,Delhi Darbar,Aloo Tikki,80,117,Cool
2024-02-04,Delhi,Lajpat Nagar,The Spice Route,Butter Naan,40,137,Rainy
2024-02-10,Delhi,Dwarka,Punjab Grill,Rajma Chawal,140,31,Rainy
2024-02-12,Delhi,Hauz Khas,Biryani Blues,Butter Naan,40,145,Humid
2024-06-01,Delhi,Vasant Kunj,Punjab Grill,Paneer Butter Masala,220,38,Rainy
2024-05-20,Delhi,Dwarka,Local Zaika,Chicken Biryani,250,57,Cloudy
2024-03-15,Delhi,Janakpuri,Zaika-e-Dilli,Amritsari Kulcha,160,104,Sunny
2024-01-25,Delhi,Karol Bagh,Biryani Blues,Chole Bhature,120,68,Rainy
2024-04-25,Delhi,Lajpat Nagar,Zaika-e-Dilli,Momos,100,85,Cool
2024-03-19,Delhi,Lajpat Nagar,Local Zaika,Chole Bhature,120,138,Cool
2024-03-09,Delhi,Vasant Kunj,Zaika-e-Dilli,Momos,100,43,Sunny
2024-06-22,Delhi,Chandni Chowk,Delhi Darbar,Momos,100,61,Sunny
2024-01-25,Delhi,Hauz Khas,Punjab Grill,Rajma Chawal,140,38,Sunny
2024-04-09,Delhi,Dwarka,Local Zaika,Rajma Chawal,140,72,Rainy
2024-02-12,Delhi,Karol Bagh,Delhi Darbar,Chole Bhature,120,54,Sunny
2024-02-17,Delhi,Dwarka,Local Zaika,Butter Naan,40,63,Sunny
2024-02-21,Delhi,Karol Bagh,Delhi Darbar,North Indian Thali,200,26,Humid
2024-01-04,Delhi,Lajpat Nagar,Local Zaika,Chole Bhature,120,130,Cool
2024-05-11,Delhi,Rohini,The Spice Route,Dal Makhani,180,57,Humid
2024-05-03,Delhi,Rohini,The Spice Route,North Indian Thali,200,66,Rainy
2024-04-02,Delhi,Karol Bagh,Delhi Darbar,Momos,100,35,Sunny
2024-06-08,Delhi,Hauz Khas,Local Zaika,Momos,100,106,Rainy
2024-06-13,Delhi,Rohini,Delhi Darbar,Paneer Butter Masala,220,127,Sunny
2024-02-04,Delhi,Karol Bagh,Zaika-e-Dilli,Rajma Chawal,140,121,Cool
2024-01-15,Delhi,Janakpuri,Zaika-e-Dilli,Chole Bhature,120,63,Cool
2024-03-28,Delhi,Karol Bagh,Punjab Grill,Chole Bhature,120,131,Humid
2024-02-01,Delhi,Lajpat Nagar,The Spice Route,Rajma Chawal,140,60,Cloudy
2024-05-18,Delhi,Rohini,Biryani Blues,Amritsari Kulcha,160,95,Humid
2024-06-23,Delhi,Rohini,Biryani Blues,Chicken Biryani,250,115,Humid
2024-06-17,Delhi,Connaught Place,Zaika-e-Dilli,North Indian Thali,200,113,Cool
2024-02-12,Delhi,Chandni Chowk,Delhi Darbar,Butter Naan,40,47,Humid
2024-04-08,Delhi,Lajpat Nagar,Local Zaika,Amritsari Kulcha,160,135,Sunny
2024-01-09,Delhi,Rohini,The Spice Route,Chicken Biryani,250,38,Cloudy
2024-01-04,Delhi,Dwarka,Flavors of Delhi,Amritsari Kulcha,160,34,Cool
2024-04-06,Delhi,Rohini,Delhi Darbar,Dal Makhani,180,13,Cloudy
2024-03-03,Delhi,Rohini,Local Zaika,Chicken Biryani,250,92,Cool
2024-03-28,Delhi,Rohini,Zaika-e-Dilli,Aloo Tikki,80,125,Sunny
2024-02-18,Delhi,Dwarka,Delhi Darbar,Butter Naan,40,83,Rainy
2024-01-10,Delhi,Hauz Khas,Zaika-e-Dilli,North Indian Thali,200,123,Humid
2024-04-15,Delhi,Hauz Khas,Biryani Blues,Chole Bhature,120,53,Humid
2024-03-12,Delhi,Saket,Haldiram's,North Indian Thali,200,23,Cool
2024-01-13,Delhi,Connaught Place,Zaika-e-Dilli,Paneer Butter Masala,220,24,Humid
2024-03-05,Delhi,Dwarka,Biryani Blues,North Indian Thali,200,30,Cool
2024-04-03,Delhi,Janakpuri,Delhi Darbar,Paneer Butter Masala,220,60,Rainy
2024-05-30,Delhi,Connaught Place,Biryani Blues,Paneer Butter Masala,220,49,Cloudy
2024-01-15,Delhi,Karol Bagh,Haldiram's,Chicken Biryani,250,48,Humid
2024-05-28,Delhi,Connaught Place,Local Zaika,Rajma Chawal,140,11,Rainy
2024-06-18,Delhi,Dwarka,Punjab Grill,Aloo Tikki,80,38,Humid
2024-05-24,Delhi,Lajpat Nagar,Delhi Darbar,Aloo Tikki,80,56,Sunny
2024-01-17,Delhi,Connaught Place,Punjab Grill,Amritsari Kulcha,160,43,Sunny
2024-01-07,Delhi,Rohini,Local Zaika,Aloo Tikki,80,95,Cloudy
2024-06-15,Delhi,Chandni Chowk,Zaika-e-Dilli,North Indian Thali,200,86,Cloudy
2024-05-23,Delhi,Vasant Kunj,Haldiram's,Chole Bhature,120,64,Sunny
2024-04-25,Delhi,Chandni Chowk,Zaika-e-Dilli,Momos,100,66,Sunny
2024-04-09,Delhi,Rohini,Flavors of Delhi,Amritsari Kulcha,160,107,Cool
2024-04-11,Delhi,Karol Bagh,Zaika-e-Dilli,Chole Bhature,120,121,Cool
2024-04-29,Delhi,Vasant Kunj,Flavors of Delhi,Amritsari Kulcha,160,16,Cool
2024-05-12,Delhi,Hauz Khas,Local Zaika,Amritsari Kulcha,160,45,Humid
2024-04-20,Delhi,Connaught Place,Zaika-e-Dilli,Dal Makhani,180,117,Cloudy
2024-06-24,Delhi,Janakpuri,The Spice Route,Dal Makhani,180,108,Cloudy
2024-04-26,Delhi,Rohini,Biryani Blues,Dal Makhani,180,69,Humid
2024-01-29,Delhi,Rohini,Local Zaika,Paneer Butter Masala,220,20,Cool
2024-03-09,Delhi,Rohini,Local Zaika,Aloo Tikki,80,140,Cloudy
2024-02-04,Delhi,Vasant Kunj,Flavors of Delhi,Chole Bhature,120,62,Sunny
2024-05-19,Delhi,Karol Bagh,Biryani Blues,Momos,100,77,Humid
2024-06-05,Delhi,Saket,Zaika-e-Dilli,Amritsari Kulcha,160,38,Humid
2024-04-13,Delhi,Lajpat Nagar,Delhi Darbar,Amritsari Kulcha,160,134,Rainy
2024-05-03,Delhi,Dwarka,Biryani Blues,Aloo Tikki,80,16,Cool
2024-02-27,Delhi,Lajpat Nagar,Haldiram's,Chicken Biryani,250,117,Humid
2024-06-14,Delhi,Vasant Kunj,Zaika-e-Dilli,Butter Naan,40,11,Sunny
2024-04-14,Delhi,Chandni Chowk,Local Zaika,Momos,100,91,Humid
2024-03-29,Delhi,Chandni Chowk,Biryani Blues,Butter Naan,40,86,Cloudy
2024-04-02,Delhi,Dwarka,Delhi Darbar,Paneer Butter Masala,220,38,Cool
2024-06-06,Delhi,Vasant Kunj,Punjab Grill,Dal Makhani,180,129,Humid
2024-06-24,Delhi,Vasant Kunj,Punjab Grill,Butter Naan,40,54,Sunny
2024-06-11,Delhi,Vasant Kunj,Biryani Blues,Amritsari Kulcha,160,144,Cloudy
2024-06-10,Delhi,Janakpuri,Biryani Blues,Paneer Butter Masala,220,80,Rainy
2024-01-13,Delhi,Saket,The Spice Route,Amritsari Kulcha,160,62,Rainy
2024-01-15,Delhi,Hauz Khas,Zaika-e-Dilli,Momos,100,50,Humid
2024-06-04,Delhi,Janakpuri,Biryani Blues,Momos,100,144,Sunny
2024-05-05,Delhi,Saket,Zaika-e-Dilli,North Indian Thali,200,85,Cloudy
2024-03-18,Delhi,Connaught Place,Punjab Grill,Amritsari Kulcha,160,10,Humid
2024-05-02,Delhi,Vasant Kunj,Punjab Grill,Butter Naan,40,28,Cloudy
2024-06-27,Delhi,Karol Bagh,Flavors of Delhi,Butter Naan,40,10,Humid
2024-04-16,Delhi,Rohini,Punjab Grill,Chole Bhature,120,82,Cool
2024-04-13,Delhi,Lajpat Nagar,Haldiram's,Chole Bhature,120,33,Cool
2024-04-12,Delhi,Janakpuri,Haldiram's,Paneer Butter Masala,220,16,Rainy
2024-05-26,Delhi,Karol Bagh,Haldiram's,Paneer Butter Masala,220,69,Cool
2024-01-23,Delhi,Karol Bagh,Punjab Grill,Aloo Tikki,80,120,Humid
2024-04-09,Delhi,Dwarka,Haldiram's,Dal Makhani,180,136,Cool
2024-05-11,Delhi,Saket,Local Zaika,North Indian Thali,200,113,Humid
2024-05-04,Delhi,Vasant Kunj,Zaika-e-Dilli,Aloo Tikki,80,75,Rainy
2024-04-19,Delhi,Saket,Flavors of Delhi,Paneer Butter Masala,220,89,Cool
2024-06-16,Delhi,Hauz Khas,The Spice Route,Amritsari Kulcha,160,24,Humid
2024-04-16,Delhi,Karol Bagh,Punjab Grill,North Indian Thali,200,107,Humid
2024-04-16,Delhi,Dwarka,The Spice Route,Chicken Biryani,250,131,Humid
2024-04-12,Delhi,Karol Bagh,Flavors of Delhi,Chole Bhature,120,120,Rainy
2024-01-28,Delhi,Saket,Biryani Blues,Momos,100,29,Cool
2024-02-01,Delhi,Chandni Chowk,Local Zaika,Paneer Butter Masala,220,70,Rainy
2024-01-24,Delhi,Lajpat Nagar,Delhi Darbar,Aloo Tikki,80,93,Rainy
2024-04-29,Delhi,Janakpuri,Zaika-e-Dilli,Chole Bhature,120,25,Cloudy
2024-01-04,Delhi,Karol Bagh,Zaika-e-Dilli,Dal Makhani,180,148,Cloudy
2024-06-26,Delhi,Lajpat Nagar,Punjab Grill,North Indian Thali,200,32,Cool
2024-04-29,Delhi,Lajpat Nagar,The Spice Route,Aloo Tikki,80,19,Cool
2024-04-05,Delhi,Lajpat Nagar,Biryani Blues,Chole Bhature,120,13,Cloudy
2024-05-30,Delhi,Saket,Biryani Blues,Amritsari Kulcha,160,91,Rainy
2024-06-16,Delhi,Dwarka,Flavors of Delhi,Rajma Chawal,140,110,Cloudy
2024-02-15,Delhi,Janakpuri,Zaika-e-Dilli,North Indian Thali,200,24,Rainy
2024-01-06,Delhi,Dwarka,Local Zaika,Dal Makhani,180,119,Humid
2024-04-21,Delhi,Rohini,Zaika-e-Dilli,Momos,100,137,Sunny
2024-05-03,Delhi,Rohini,Punjab Grill,Chicken Biryani,250,102,Cool
2024-04-29,Delhi,Saket,Zaika-e-Dilli,Butter Naan,40,99,Cloudy
2024-02-13,Delhi,Hauz Khas,The Spice Route,Chicken Biryani,250,22,Cool
2024-02-18,Delhi,Janakpuri,Haldiram's,Dal Makhani,180,62,Cloudy
2024-02-19,Delhi,Karol Bagh,Zaika-e-Dilli,Aloo Tikki,80,149,Sunny
2024-05-05,Delhi,Hauz Khas,Punjab Grill,Dal Makhani,180,101,Cloudy
2024-04-19,Delhi,Connaught Place,Zaika-e-Dilli,Paneer Butter Masala,220,121,Sunny
2024-04-25,Delhi,Dwarka,Punjab Grill,Chole Bhature,120,141,Cool
2024-05-23,Delhi,Connaught Place,Flavors of Delhi,Butter Naan,40,22,Cool
2024-02-08,Delhi,Hauz Khas,Punjab Grill,Amritsari Kulcha,160,131,Sunny
2024-05-17,Delhi,Rohini,Punjab Grill,North Indian Thali,200,70,Cool
2024-05-30,Delhi,Rohini,Punjab Grill,Chicken Biryani,250,90,Humid
2024-05-26,Delhi,Rohini,The Spice Route,Dal Makhani,180,91,Rainy
2024-06-21,Delhi,Karol Bagh,Haldiram's,Momos,100,77,Rainy
2024-04-17,Delhi,Rohini,Local Zaika,Dal Makhani,180,123,Humid
2024-04-01,Delhi,Connaught Place,Flavors of Delhi,Dal Makhani,180,112,Sunny
2024-04-05,Delhi,Karol Bagh,Zaika-e-Dilli,Momos,100,47,Humid
2024-03-30,Delhi,Karol Bagh,Haldiram's,Dal Makhani,180,50,Rainy
2024-02-07,Delhi,Karol Bagh,Haldiram's,North Indian Thali,200,24,Cool
2024-06-28,Delhi,Connaught Place,Flavors of Delhi,Paneer Butter Masala,220,22,Humid
2024-05-16,Delhi,Hauz Khas,Local Zaika,Amritsari Kulcha,160,126,Cool
2024-01-11,Delhi,Rohini,Punjab Grill,Chole Bhature,120,124,Cloudy
2024-01-07,Delhi,Lajpat Nagar,Zaika-e-Dilli,Dal Makhani,180,135,Cloudy
2024-05-13,Delhi,Chandni Chowk,Zaika-e-Dilli,Chole Bhature,120,25,Cloudy
2024-01-13,Delhi,Janakpuri,Flavors of Delhi,Chicken Biryani,250,107,Cool
2024-02-01,Delhi,Connaught Place,Delhi Darbar,Amritsari Kulcha,160,37,Sunny
2024-01-28,Delhi,Rohini,Flavors of Delhi,Amritsari Kulcha,160,22,Rainy
2024-02-16,Delhi,Saket,Biryani Blues,North Indian Thali,200,86,Cool
2024-05-24,Delhi,Chandni Chowk,Haldiram's,North Indian Thali,200,14,Sunny
2024-03-29,Delhi,Hauz Khas,Delhi Darbar,Amritsari Kulcha,160,139,Rainy
2024-02-04,Delhi,Hauz Khas,Flavors of Delhi,Momos,100,61,Sunny
2024-02-25,Delhi,Dwarka,Local Zaika,Chicken Biryani,250,22,Sunny
2024-06-03,Delhi,Chandni Chowk,The Spice Route,Chicken Biryani,250,125,Sunny
2024-05-27,Delhi,Connaught Place,Punjab Grill,Paneer Butter Masala,220,143,Rainy
2024-05-06,Delhi,Janakpuri,Punjab Grill,Chole Bhature,120,56,Rainy
2024-01-14,Delhi,Janakpuri,Delhi Darbar,Butter Naan,40,124,Rainy
2024-06-26,Delhi,Chandni Chowk,Haldiram's,Dal Makhani,180,147,Cool
2024-01-18,Delhi,Dwarka,The Spice Route,Butter Naan,40,98,Cool
2024-01-25,Delhi,Janakpuri,Local Zaika,Rajma Chawal,140,123,Sunny
2024-05-23,Delhi,Hauz Khas,Zaika-e-Dilli,Rajma Chawal,140,73,Cloudy
2024-04-03,Delhi,Janakpuri,The Spice Route,Chole Bhature,120,125,Rainy
2024-06-23,Delhi,Vasant Kunj,Local Zaika,Chole Bhature,120,73,Cloudy
2024-06-13,Delhi,Janakpuri,Local Zaika,North Indian Thali,200,64,Cloudy
2024-06-24,Delhi,Rohini,Local Zaika,Rajma Chawal,140,58,Rainy
2024-04-04,Delhi,Vasant Kunj,The Spice Route,Paneer Butter Masala,220,144,Rainy
2024-02-16,Delhi,Karol Bagh,Punjab Grill,Butter Naan,40,114,Sunny
2024-04-30,Delhi,Rohini,The Spice Route,Chicken Biryani,250,49,Cloudy
2024-06-18,Delhi,Dwarka,Haldiram's,Butter Naan,40,67,Sunny
2024-02-09,Delhi,Rohini,The Spice Route,Momos,100,25,Cool
2024-03-15,Delhi,Saket,Biryani Blues,Chole Bhature,120,92,Humid
2024-03-14,Delhi,Karol Bagh,Biryani Blues,Paneer Butter Masala,220,98,Sunny
2024-05-12,Delhi,Chandni Chowk,Haldiram's,Paneer Butter Masala,220,128,Sunny
2024-02-23,Delhi,Janakpuri,The Spice Route,Amritsari Kulcha,160,140,Rainy
2024-03-01,Delhi,Saket,Local Zaika,Butter Naan,40,140,Humid
2024-05-30,Delhi,Karol Bagh,Flavors of Delhi,Rajma Chawal,140,140,Humid
2024-02-14,Delhi,Karol Bagh,Flavors of Delhi,Rajma Chawal,140,131,Cool
2024-06-06,Delhi,Rohini,Punjab Grill,Paneer Butter Masala,220,51,Cool
2024-03-04,Delhi,Connaught Place,Haldiram's,Momos,100,97,Humid
2024-05-23,Delhi,Connaught Place,Zaika-e-Dilli,Dal Makhani,180,106,Sunny
2024-01-04,Delhi,Janakpuri,Haldiram's,Dal Makhani,180,127,Rainy
2024-01-25,Delhi,Connaught Place,The Spice Route,Rajma Chawal,140,111,Humid
2024-04-27,Delhi,Rohini,The Spice Route,Momos,100,148,Rainy
2024-04-07,Delhi,Karol Bagh,Biryani Blues,Rajma Chawal,140,137,Sunny
2024-04-26,Delhi,Chandni Chowk,The Spice Route,Dal Makhani,180,84,Cool
2024-02-20,Delhi,Janakpuri,Haldiram's,Chole Bhature,120,110,Sunny
2024-04-12,Delhi,Connaught Place,Delhi Darbar,Momos,100,21,Humid
2024-02-02,Delhi,Lajpat Nagar,The Spice Route,North Indian Thali,200,43,Humid
2024-02-27,Delhi,Vasant Kunj,Haldiram's,Paneer Butter Masala,220,127,Rainy
2024-03-25,Delhi,Karol Bagh,Biryani Blues,North Indian Thali,200,92,Cool
2024-01-06,Delhi,Karol Bagh,Delhi Darbar,Paneer Butter Masala,220,113,Rainy
2024-05-08,Delhi,Lajpat Nagar,Local Zaika,Dal Makhani,180,60,Humid
2024-02-26,Delhi,Connaught Place,Zaika-e-Dilli,Dal Makhani,180,18,Cool
2024-03-17,Delhi,Vasant Kunj,Delhi Darbar,North Indian Thali,200,44,Sunny
2024-03-11,Delhi,Dwarka,Flavors of Delhi,Amritsari Kulcha,160,51,Rainy
2024-03-01,Delhi,Saket,Punjab Grill,North Indian Thali,200,111,Sunny
2024-01-25,Delhi,Rohini,Flavors of Delhi,Dal Makhani,180,28,Cloudy
2024-02-17,Delhi,Dwarka,Flavors of Delhi,Chole Bhature,120,16,Cool
2024-02-16,Delhi,Connaught Place,Biryani Blues,Chicken Biryani,250,57,Humid
2024-01-12,Delhi,Janakpuri,Biryani Blues,Rajma Chawal,140,68,Cloudy
2024-06-14,Delhi,Hauz Khas,Local Zaika,Amritsari Kulcha,160,106,Cool
2024-06-11,Delhi,Dwarka,The Spice Route,North Indian Thali,200,95,Sunny
2024-05-07,Delhi,Dwarka,Haldiram's,Amritsari Kulcha,160,33,Rainy
2024-04-24,Delhi,Rohini,Haldiram's,Dal Makhani,180,40,Rainy
2024-02-24,Delhi,Karol Bagh,Local Zaika,North Indian Thali,200,141,Cloudy
2024-02-09,Delhi,Vasant Kunj,Haldiram's,Amritsari Kulcha,160,45,Sunny
2024-03-30,Delhi,Connaught Place,Haldiram's,North Indian Thali,200,48,Humid
2024-04-03,Delhi,Vasant Kunj,Biryani Blues,Chicken Biryani,250,89,Cool
2024-05-09,Delhi,Vasant Kunj,The Spice Route,Chicken Biryani,250,89,Cool
2024-03-09,Delhi,Vasant Kunj,Delhi Darbar,Amritsari Kulcha,160,148,Cloudy
2024-06-03,Delhi,Rohini,Flavors of Delhi,Amritsari Kulcha,160,22,Cool
2024-05-11,Delhi,Chandni Chowk,Biryani Blues,Momos,100,99,Cloudy
2024-04-22,Delhi,Rohini,The Spice Route,Butter Naan,40,105,Sunny
2024-06-27,Delhi,Dwarka,Zaika-e-Dilli,Rajma Chawal,140,149,Rainy
2024-01-30,Delhi,Chandni Chowk,Local Zaika,Rajma Chawal,140,134,Sunny
2024-06-02,Delhi,Lajpat Nagar,Punjab Grill,Chole Bhature,120,135,Rainy
2024-03-24,Delhi,Connaught Place,Delhi Darbar,Dal Makhani,180,75,Humid
2024-06-15,Delhi,Chandni Chowk,Haldiram's,Chole Bhature,120,150,Humid
2024-06-25,Delhi,Dwarka,The Spice Route,Dal Makhani,180,93,Humid
2024-05-17,Delhi,Vasant Kunj,Delhi Darbar,Paneer Butter Masala,220,64,Humid
2024-03-06,Delhi,Janakpuri,Haldiram's,Momos,100,91,Humid
2024-03-05,Delhi,Chandni Chowk,Delhi Darbar,Chicken Biryani,250,136,Cloudy
2024-06-08,Delhi,Hauz Khas,Delhi Darbar,Paneer Butter Masala,220,17,Humid
2024-02-08,Delhi,Dwarka,Haldiram's,Paneer Butter Masala,220,86,Cool
2024-04-03,Delhi,Saket,Local Zaika,North Indian Thali,200,19,Cool
2024-03-19,Delhi,Hauz Khas,Zaika-e-Dilli,Amritsari Kulcha,160,96,Rainy
2024-05-22,Delhi,Janakpuri,Delhi Darbar,Momos,100,84,Rainy
2024-04-23,Delhi,Saket,Flavors of Delhi,Rajma Chawal,140,134,Humid
2024-05-31,Delhi,Chandni Chowk,Punjab Grill,Paneer Butter Masala,220,23,Cloudy
2024-01-20,Delhi,Vasant Kunj,Zaika-e-Dilli,Momos,100,102,Cloudy
2024-03-15,Delhi,Chandni Chowk,Flavors of Delhi,Chole Bhature,120,68,Sunny
2024-02-14,Delhi,Rohini,Flavors of Delhi,North Indian Thali,200,111,Rainy
2024-05-12,Delhi,Hauz Khas,Delhi Darbar,Momos,100,115,Sunny
2024-06-20,Delhi,Vasant Kunj,Local Zaika,Butter Naan,40,42,Cool
2024-04-29,Delhi,Chandni Chowk,Delhi Darbar,Dal Makhani,180,83,Cloudy
2024-05-07,Delhi,Hauz Khas,Zaika-e-Dilli,Dal Makhani,180,52,Cool
2024-06-09,Delhi,Saket,Haldiram's,Paneer Butter Masala,220,139,Sunny
2024-03-07,Delhi,Dwarka,Flavors of Delhi,Chicken Biryani,250,129,Humid
2024-06-28,Delhi,Vasant Kunj,Zaika-e-Dilli,Amritsari Kulcha,160,138,Sunny
2024-05-18,Delhi,Saket,Flavors of Delhi,Dal Makhani,180,21,Cloudy
2024-02-14,Delhi,Karol Bagh,Biryani Blues,Chicken Biryani,250,29,Sunny
2024-06-07,Delhi,Hauz Khas,The Spice Route,Chicken Biryani,250,137,Humid
2024-06-19,Delhi,Chandni Chowk,Punjab Grill,Rajma Chawal,140,24,Cool
2024-05-22,Delhi,Janakpuri,Local Zaika,Aloo Tikki,80,28,Rainy
2024-03-29,Delhi,Rohini,Haldiram's,Dal Makhani,180,140,Rainy
2024-06-21,Delhi,Connaught Place,Biryani Blues,Butter Naan,40,94,Rainy
2024-04-30,Delhi,Hauz Khas,Biryani Blues,Butter Naan,40,57,Cloudy
2024-06-15,Delhi,Janakpuri,Haldiram's,North Indian Thali,200,93,Rainy
2024-03-15,Delhi,Janakpuri,Flavors of Delhi,Chicken Biryani,250,146,Humid
2024-05-14,Delhi,Hauz Khas,Delhi Darbar,Paneer Butter Masala,220,64,Humid
2024-01-25,Delhi,Dwarka,Haldiram's,Chole Bhature,120,73,Humid
2024-05-26,Delhi,Lajpat Nagar,The Spice Route,North Indian Thali,200,40,Sunny
2024-01-12,Delhi,Chandni Chowk,Delhi Darbar,Rajma Chawal,140,105,Humid
2024-01-28,Delhi,Dwarka,Local Zaika,Chicken Biryani,250,89,Cool
2024-06-23,Delhi,Lajpat Nagar,The Spice Route,Butter Naan,40,47,Humid
2024-03-17,Delhi,Saket,The Spice Route,Paneer Butter Masala,220,15,Sunny
2024-03-23,Delhi,Vasant Kunj,The Spice Route,Aloo Tikki,80,52,Sunny
2024-05-16,Delhi,Karol Bagh,Zaika-e-Dilli,Dal Makhani,180,129,Sunny
2024-05-18,Delhi,Dwarka,Zaika-e-Dilli,Chole Bhature,120,67,Cool
2024-03-11,Delhi,Karol Bagh,Flavors of Delhi,Butter Naan,40,49,Cool
2024-02-07,Delhi,Vasant Kunj,Haldiram's,Rajma Chawal,140,29,Humid
2024-03-03,Delhi,Rohini,Haldiram's,Chole Bhature,120,86,Cool
2024-05-24,Delhi,Rohini,The Spice Route,North Indian Thali,200,100,Humid
